engine_id,engine_title,production_years,displacement_cc,fuel_system,power_output_hp,torque_output_nm,cylinder_block,compression_ratio,turbocharging,fuel_type,euro_standard,engine_lifespan_km,recommended_oil,manufacturer,year_start
86,Engine Chrysler EGG,1998-2010,3518,injector,250,340,aluminum v6,10.1,no,92,euro 3,~340 000,5w-30,Chrysler,1998
87,Engine Dodge EBA,2006-2009,1798,injector,148,169,aluminum r4,10.5,no,92,euro 4,~220 000,5w-30,Dodge,2006
88,Engine Dodge ECB,1994-2005,1996,injector,132,176,cast iron r4,9.8,no,92,euro 3,~275 000,5w-30,Dodge,1994
89,Engine Dodge EDV,2002-2009,2429,injector,215 - 235,330 - 340,cast iron r4,8.1,mhi td04lr,95,euro 3/4,~200 000,5w-30,Dodge,2002
90,Engine Dodge EGS,2006-2011,3952,injector,260,360,aluminum v6,10.3,no,92,euro 3,~310 000,5w-30,Dodge,2006
91,Engine Jeep EHB,2013-,3239,injector,275,325,aluminum v6,10.7,no,95,euro 5,~320 000,5w-30,Jeep,2013
92,Engine Dodge ECN,2006-2016,1998,injector,158,191,aluminum r4,10.5,no,92,euro 4,~250 000,5w-30,Dodge,2006
93,Engine Chrysler EGE,1992-1997,3518,injector,215,300,cast iron v6,10.4,no,92,euro 2,~300 000,5w-30,Chrysler,1992
94,Engine Dodge ED4,2007-2009,2360,injector,285,359,aluminum r4,8.6,mhi td04,95,euro 4,~230 000,5w-30,Dodge,2007
95,Engine Chrysler EDT,2002-2009,2429,injector,182,285,cast iron r4,8.1,yes,92,euro 3/4,~220 000,5w-30,Chrysler,2002
96,Engine Dodge EGW,1997-2001,3231,injector,225,305,aluminum v6,10.1,no,92,euro 3,~320 000,5w-30,Dodge,1997
97,Engine Chrysler EDZ,1995-2010,2429,injector,137 - 152,210 - 230,cast iron r4,9.4 &#8211; 9.5,no,92,euro 3/4,~500 000,"5w-30, 5w-40",Chrysler,1995
98,Engine Jeep ED6,2012-,2360,injector,175 - 185,230 - 245,aluminum r4,10,no,95,euro 5/6,~250 000,5w-20,Jeep,2012
99,Engine Dodge EZA,2003-2009,5654,injector,335 - 345,500 - 510,,9.5,no,92,euro 2,~400 000,5w-30,Dodge,2003
100,Engine Dodge ECH,1999-2004,1996,injector,150,183,cast iron r4,9.8,no,92,euro 3,~260 000,5w-30,Dodge,1999
101,Engine Chrysler ENJ,2000-2007,2499,common rail,141,340,cast iron r4,17.5,ihi rhf4h,diesel,euro 3,~300 000,5w-30,Chrysler,2000
102,Engine Dodge EZH,2008-,5654,injector,355 - 395,525 - 555,,10.3,no,92,euro 4,~350 000,5w-30,Dodge,2008
103,Engine Chrysler EGA,1989 &#8211; 2000,3301,injector,150 - 162,245 - 275,cast iron v6,8.9,no,92,euro 2/3,~400 000,5w-30,Chrysler,1989
104,Engine Chrysler EGN,2003 &#8211; 2006,3518,injector,253,340,aluminum v6,10.1,no,92,euro 3,~320 000,5w-30,Chrysler,2003
105,Engine Jeep EHD,2014-,2997,injector,235,295,aluminum v6,10.2,no,95,euro 5,~300 000,5w-30,Jeep,2014
106,Engine Chrysler ECC,1994-2005,1996,injector,140 - 150,175 - 185,cast iron r4,9.6,no,92,euro 3,~270 000,5w-30,Chrysler,1994
107,Engine Chrysler EJD,2000-2010,1598,injector,116,157,cast iron r4,10.5,no,92,euro 3,~300 000,5w-30,Chrysler,2000
108,Engine Chrysler EER,1997-2010,2736,injector,190 - 205,255 - 265,aluminum v6,9.7 &#8211; 9.9,no,92,euro 3/4,~330 000,5w-30,Chrysler,1997
109,Engine Dodge EGH,1990 &#8211; 2000,3778,injector,150 - 180,290 - 325,cast iron v6,9,no,92,euro 2/3,~420 000,5w-30,Dodge,1990
110,Engine Chrysler EBD,1994-1999,1796,injector,115,152,cast iron r4,10,no,92,euro 3,~250 000,5w-30,Chrysler,1994
111,Engine Jeep ENC,1991-2001,2499,prechamber,112 - 118,260 - 280,cast iron r4,21,ihi va59a &#8211; va63a,diesel,euro 1,~250 000,5w-30,Jeep,1991
112,Engine Dodge ESG,2010-,6407,injector,470 - 485,635 - 645,,10.9,no,92,euro 4,~380 000,5w-30,Dodge,2010
113,Engine Dodge ED3,2006-,2360,injector,170 - 175,220 - 225,aluminum r4,10.5,no,92,euro 4,~260 000,5w-30,Dodge,2006
114,Engine Chrysler EGQ,2006-2010,3952,injector,250 - 255,350 - 355,aluminum v6,10.3,no,92,euro 3,~330 000,5w-30,Chrysler,2006
115,Engine Chrysler EZB,2004-2008,5654,injector,325 - 345,500 - 530,,9.6,no,92,euro 3,~375 000,5w-20,Chrysler,2004
116,Engine Chrysler ERB,2010-,3604,injector,280 - 310,345 - 365,aluminum v6,10.2,no,95,euro 4,~330 000,5w-30,Chrysler,2010
117,Engine Mercedes OM646,,,direct injection,,,,18.0:1,,diesel,,,,Mercedes,
118,Engine Mercedes OM906LA,,,,,,,17.4: 1,,diesel,,,,Mercedes,
119,Engine Mercedes OM460LA,,12816,direct injection,435/1650,,,18,,diesel,euro 5,,,Mercedes,
120,Engine Mercedes OM926LA,1998,7201,direct injection,299-326,,,,,diesel,euro 4,,,Mercedes,
121,Engine Mercedes OM651,2008,,direct injection,,,,16.2,,diesel,euro 6,,,Mercedes,
122,Engine Mercedes OM470,2003,10700,direct injection,,,,18.5,,diesel,euro 6,,,Mercedes,
123,Engine Mercedes OM314,1964,,inline injection pump,,,,,,diesel,,,,Mercedes,
124,Engine Mercedes OM352,1964-01-01 00:00:00,5675,direct injection,,,,,,diesel,,,,Mercedes,
125,Engine Mercedes OM642,2005-03-01 00:00:00,2987,direct fuel injection common rail 3,,,,18.0:1,,diesel,euro-4,,,Mercedes,
126,Engine Mercedes OM364,1986-04-01 00:00:00,3972,inline injection pump,,,,,,diesel,,,,Mercedes,
127,Engine Mercedes OM442,1987,,inline injection pump,,,,16.9:1,,diesel,,,,Mercedes,
128,Engine Mercedes OM471,2011,12800,direct injection,422-530/1800,,,18.3:1,,diesel,euro 6,,,Mercedes,
129,Engine Mercedes OM402,1990-12-01 00:00:00,12763,inline injection pump,,,,,,diesel,euro 1,,,Mercedes,
130,Engine Mercedes OM636,1949,1697-1767,split combustion engine,,,,,,diesel,,,,Mercedes,
131,Engine Mercedes OM421,10.1981,10964,inline injection pump,,,,,,diesel,,,,Mercedes,
132,Engine Mercedes OM403,1974-05-01 00:00:00,15900,inline injection pump,,,,,,diesel,,,,Mercedes,
133,Engine Mercedes OM443,1987-88,18273,diesel direct injection,,,,16.9:1,,diesel,euro 2,,,Mercedes,1987
134,Engine Mercedes OM924LA,2004-10-01 00:00:00,4801,,,,,,,diesel,euro 3,,,Mercedes,
135,Engine Mercedes OM401,1975,9572,direct injection,313/2000,,,16.75:1,,diesel,euro ii,,,Mercedes,
136,Engine Mercedes OM427,,11970,direct injection,,,,"16,25:1",,diesel,,,,Mercedes,
137,Engine Mercedes OM362,2.1983,5700,inline injection pump,,,,,,diesel,,,,Mercedes,
631,Engine Volvo D12A340,1993-08-01 00:00:00,12100,direct injection,,,,,,diesel,,,,Volvo,
638,Engine DAF RS 222,,8650,inline injection pump,,,,,,diesel,,,,DAF,
640,Engine YaMZ-7601,,,,,,,"16,5",,,,,,YaMZ-,
643,Engine DAF RS 200,,8650,inline injection pump,,,,,,diesel,,,,DAF,
138,Engine Mercedes OM447,,,,,,,16.25:1,,,,,,Mercedes,
139,Engine Mercedes OM446,1987,14618,,381 - 530,,,,,diesel,euro-1,,,Mercedes,
140,Engine Mercedes OM936,,7698,direct injection,,,,,,diesel,euro 6,,,Mercedes,
141,Engine Mercedes OM441,,10964,inline injection pump,,,,,,diesel,,,,Mercedes,
142,Engine Mercedes OM424,,,,,,,,,,,,,Mercedes,
143,Engine Mercedes OM326,1.1961,10809,,,,,,,diesel,,,,Mercedes,
144,Engine Mercedes OM346,1.1964,10809,direct injection,,,,,,diesel,,,,Mercedes,
145,Engine Mercedes OM611,,2151 | 2148,,,,,22 and 18-19 (turbo),,diesel,,,,Mercedes,
146,Engine Mercedes OM601,1988-10-01 00:00:00,2299,inline injection pump,,,,,,diesel,,,,Mercedes,
147,Engine Mercedes OM617,,,precombustion chamber injection,,,cast iron r5,21,no,diesel,euro 0,,6.5 liters 5w-40,Mercedes,
148,Engine Mercedes OM628,,,common rail,,,"v8, aluminum",18.5,two gt1749v,diesel,euro 4,,10.5 liters 5w-30,Mercedes,
149,Engine Mercedes OM648,,3222,,,,,18,,diesel fuel,,,,Mercedes,
150,Engine Mercedes OM647,,2685,,,,,18,,diesel fuel,,,,Mercedes,
151,Engine Mercedes OM622,,1598,,,,,15.4:1,,diesel fuel,,,,Mercedes,
152,Engine Mercedes OM613,,3226,,,470,,,,diesel fuel,,,,Mercedes,
153,Engine Mercedes M271 E18 ML/AL,2002,1796,injector,122-192/5200-5800,,,9-10.5,,95,euro 5,,0w-30 / 0w-40 / 5w-30 / 5w-40,Mercedes,
154,Engine Mercedes OM501LA,,11946,,313-428,,,,,,euro 3,,,Mercedes,
155,Engine Mercedes OM457LA,,11967,direct injection,,,,18.5,,diesel,euro 5,,,Mercedes,
349,Engine Opel Z18XER,2005-2010,1796,distributed injection,140,175,cast iron r4,10.5,no,95,euro 4,~350 000,5w-30 / 5w-40 / 0w-30 / 0w-40,Opel,2005
156,Engine Mercedes OM502LA,,15928,direct injection,510-598,,,,,diesel,"euro 4, euro 5",,,Mercedes,
157,Engine Mercedes OM904LA,,4249,,,,,17.4 to 1,,,,,,Mercedes,
158,Engine Mercedes OM366LA,,5958,,,,,,,,,,,Mercedes,
159,Engine Mercedes OM422,,14618,,151-375,,,"16,9:1",,,euro 2,,,Mercedes,
160,Engine Mercedes OM603,,2996,,,,,22,,diesel fuel,,,,Mercedes,
161,Engine Mercedes OM616,,,,,,,21:1,,,,,,Mercedes,
162,Engine Mercedes OM640,,1991,direct injection,82-109/2600,,,18:1,,diesel,euro 4,,,Mercedes,
163,Engine Mercedes OM602,,2497,,,,,22:1,,diesel fuel,,,,Mercedes,
164,Engine Mercedes OM606,,2996,,,,,22,,diesel fuel,,,,Mercedes,
165,Engine Mercedes OM629,,3996,,,700-730,,,,diesel fuel,euro 4,,,Mercedes,
166,Engine Mercedes OM607,,1461,direct injection,,,,15.5,,diesel,euro 5,,,Mercedes,
167,Engine Mercedes OM668,,1689,,,,,,,diesel fuel,,,,Mercedes,
168,Engine Mercedes OM612,,,common rail,,,cast iron r5,18:1,yes,diesel,euro 3/4,,7.5 liters 5w-30,Mercedes,
169,Engine Mercedes OM605,,2497,,,,,22:1,,diesel fuel,,,,Mercedes,
585,Engine DAF GR220,2006-03-01 00:00:00,6691,direct injection,,1100 at 1200-1900 rpm,,,,diesel,euro 4,,,DAF,
170,Engine Mercedes OM604,,2155,direct injection,74-94/5000,,,22,,diesel,euro 2/3,,,Mercedes,
171,Engine Mercedes OM615,,,,,,,,,diesel fuel,,,,Mercedes,
172,Engine Mercedes M104 E32,1991-1998,3199,injector,220-231/5500-5800,,,9.2 / 10,,95,,,0w-30 / 0w-40 / 5w-30 / 5w-40 / 5w-50 / 10w-40 / 10w-50 / 15w-40 / 15w-50,Mercedes,1991
173,Engine Mercedes M103 E26,1985-1993,2599,injector,160/5800 / 166/5800,,,9.2,,95,—,,0w-30 / 0w-40 / 5w-30 / 5w-40 / 5w-50 / 10w-40 / 10w-50 / 15w-40 / 15w-50,Mercedes,1985
174,Engine Mercedes-Benz M102,,,,,,,9,,92,up to euro 1,,0w-30 / 0w-40 / 5w-30 / 5w-40 / 10w-40 / 15w-40,Mercedes-Benz,
175,Engine Mercedes M112 E26,2000-2006,2597,injector,,,,11,,95,euro 4,,0w-30 / 0w-40 / 5w-30 / 5w-40 / 5w-50 / 10w-40 / 10w-50 / 15w-40 / 15w-50,Mercedes,2000
176,Engine Mercedes M272 KE25,2005-2011,2496,injector,204/6200,,,11.2,,95,euro 5,,0w-30 / 0w-40 / 5w-30 / 5w-40,Mercedes,2005
177,Engine Mercedes M272 KE30,2004-2013,2996,injector,231/6000,,,11.3,,95,euro 5,,0w-30 / 0w-40 / 5w-30 / 5w-40,Mercedes,2004
178,Engine Mercedes M272 KE/DE 35,2004-2013,3498,injector,,,,,,95,euro 6,,0w-30 / 0w-40 / 5w-30 / 5w-40,Mercedes,2004
179,Engine Mercedes M273 E55/E46,,4663,,340/6000,,,,,,,,,Mercedes,
180,Engine Mercedes M113 E50,1998-2011,4966,injector,,,,10,,95,euro 4,,0w-30 / 0w-40 / 5w-30 / 5w-40 / 5w-50 / 10w-40 / 10w-50 / 15w-40 / 15w-50,Mercedes,1998
181,Engine Mercedes M119 E50,1989-1998,4973,injector,,,,,,95,euro 1,,0w-30 / 0w-40 / 5w-30 / 5w-40 / 5w-50 / 10w-40 / 10w-50 / 15w-40 / 15w-50,Mercedes,1989
182,Engine Mercedes M271 E16 ML,2008-2011,1597,injector,129-156/5000-5200,,,10.3,,95,euro 5,,0w-30 / 0w-40 / 5w-30 / 5w-40,Mercedes,2008
587,Engine Volvo D4A140,,4000,,,,,,,diesel,euro 2,,,Volvo,
318,Engine Honda J37A,2006-2014,3664,injector,295 - 305,365 - 375,aluminum v6,11.0 &#8211; 11.2,no,95,euro 4/5,~320 000,5w-30,Honda,2006
183,Engine Mercedes M113 E43,1997-2005,4266,injector,,,,10,,95,euro 4,,0w-30 / 0w-40 / 5w-30 / 5w-40 / 5w-50 / 10w-40 / 10w-50 / 15w-40 / 15w-50,Mercedes,1997
184,Engine Mercedes M103 E30,1985-1993,2962,injector,180-190/5700,,,,,95,—,,0w-30 / 0w-40 / 5w-30 / 5w-40 / 5w-50 / 10w-40 / 10w-50 / 15w-40 / 15w-50,Mercedes,1985
185,Engine Mercedes M104 E28,1992-1998,2799,injector,,,,,,95,—,,0w-30 / 0w-40 / 5w-30 / 5w-40 / 5w-50 / 10w-40 / 10w-50 / 15w-40 / 15w-50,Mercedes,1992
186,Engine Mercedes M104 E30,1989-1993,2960,injector,,,,10,,95,—,,0w-30 / 0w-40 / 5w-30 / 5w-40 / 5w-50 / 10w-40 / 10w-50 / 15w-40 / 15w-50,Mercedes,1989
187,Engine Mercedes M111 E18,1993-2000,1799,injector,122/5500,,,9.8,,95,euro 3,,0w-30 / 0w-40 / 5w-30 / 5w-40 / 10w-40 / 15w-40,Mercedes,1993
188,Engine Mercedes M112 E24,1997-2000,2398,injector,170/5900,,,10,,95,euro 3,,0w-30 / 0w-40 / 5w-30 / 5w-40 / 5w-50 / 10w-40 / 10w-50 / 15w-40 / 15w-50,Mercedes,1997
189,Engine Mercedes M111 E20/E20 ML,1992-2004,1998,injector,,,,,,95,,,0w-30 / 0w-40 / 5w-30 / 5w-40 / 10w-40 / 15w-40,Mercedes,1992
